variable,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-3.8236159444362756,0.08602364033788841,-44.448432191635526,0.0,-3.992219181317564,-3.655012707554987
sales_mil_log,-0.6180171857032187,0.01905066319128398,-32.44071765364959,7.322280867886239e-231,-0.6553557994397382,-0.5806785719666993
age,-0.0819394697498834,0.004445578056188215,-18.431679460857563,7.317573312832487e-76,-0.09065264263047389,-0.07322629686929293
d1_sales_mil_log,-0.11463335119354033,0.025781489845855366,-4.446343166315068,8.734438099061455e-06,-0.16516414275920197,-0.0641025596278787
